,ML Model,Accuracy,ROC score,Precision,Recall,F1-Score,MCC,Kappa Score,Jaccard Score,G-Measure
89,EXP-WSI - SVM - Poly,0.547,0.385,0.03,0.2,0.052,-0.113,-0.063,0.027,0.036
90,EXP-WSI - SVM - Utility ,0.559,0.491,0.119,0.4,0.184,-0.012,-0.009,0.101,0.139
91,EXP-WSI - SVM - Linear ,0.497,0.476,0.358,0.387,0.372,-0.047,-0.047,0.229,0.364
92,EXP-WSI - SVM - Sigmoid,0.534,0.516,0.403,0.435,0.419,0.031,0.031,0.265,0.409
93,EXP-WSI - RF,0.634,0.622,0.358,0.6,0.449,0.214,0.2,0.289,0.39
94,EXP-WSI - DT,0.497,0.494,0.478,0.41,0.441,-0.012,-0.011,0.283,0.462
95,EXP-WSI - NB,0.59,0.571,0.418,0.509,0.459,0.136,0.134,0.298,0.433
96,EXP-WSI - VGGNets,0.559,0.482,0.254,0.447,0.324,0.035,0.032,0.193,0.278
97,EXP-WSI - ResNets,0.59,0.596,0.015,1.0,0.029,0.094,0.017,0.015,0.019
98,EXP-WSI - DenseNets,0.59,0.53,0.03,0.667,0.057,0.07,0.022,0.029,0.037
99,CNV-WSI - SVM - rbf,0.553,0.507,0.07,0.455,0.122,0.007,0.004,0.065,0.085
100,CNV-WSI - SVM - Poly,0.553,0.511,0.085,0.462,0.143,0.012,0.007,0.077,0.101
101,CNV-WSI - SVM - Utility ,0.559,0.533,0.113,0.5,0.184,0.039,0.026,0.101,0.133
102,CNV-WSI - SVM - Linear ,0.547,0.546,0.549,0.488,0.517,0.093,0.093,0.348,0.536
103,CNV-WSI - SVM - Sigmoid,0.565,0.561,0.535,0.507,0.521,0.124,0.123,0.352,0.529
104,CNV-WSI - RF,0.547,0.517,0.211,0.469,0.291,0.028,0.024,0.17,0.237
105,CNV-WSI - DT,0.491,0.482,0.408,0.42,0.414,-0.036,-0.036,0.261,0.411
106,CNV-WSI - NB,0.484,0.478,0.423,0.417,0.42,-0.044,-0.044,0.265,0.421
107,CNV-WSI - VGGNets,0.447,0.527,0.986,0.443,0.611,0.03,0.007,0.44,0.792
108,EXP-CNV - ResNets,0.565,0.56,0.028,0.667,0.054,0.063,0.019,0.028,0.035
109,EXP-CNV - DenseNets,0.559,0.511,0.014,0.5,0.027,0.013,0.003,0.014,0.017
110,CLN-EXP-CNV - SVM - rbf,0.764,0.778,0.574,0.812,0.672,0.515,0.496,0.506,0.609
111,CLN-EXP-CNV - SVM - Poly,0.627,0.755,0.132,0.9,0.231,0.249,0.137,0.13,0.16
112,CLN-EXP-CNV - SVM - Utility ,0.484,0.555,0.853,0.443,0.583,0.086,0.06,0.411,0.72
113,CLN-EXP-CNV - SVM - Linear ,0.621,0.615,0.588,0.548,0.567,0.232,0.231,0.396,0.58
114,CLN-EXP-CNV - SVM - Sigmoid,0.739,0.738,0.603,0.732,0.661,0.458,0.452,0.494,0.625
115,CLN-EXP-CNV - RF,0.758,0.762,0.603,0.774,0.678,0.498,0.488,0.512,0.631
116,CLN-EXP-CNV - DT,0.547,0.54,0.5,0.466,0.482,0.08,0.08,0.318,0.493
117,CLN-EXP-CNV - NB,0.714,0.707,0.632,0.672,0.652,0.41,0.41,0.483,0.64
118,CLN-EXP-CNV - VGGNets,0.745,0.745,0.559,0.776,0.65,0.473,0.458,0.481,0.592
119,CLN-EXP-CNV - ResNets,0.683,0.723,0.559,0.644,0.598,0.341,0.339,0.427,0.574
120,CLN-EXP-CNV - DenseNets,0.702,0.732,0.559,0.679,0.613,0.379,0.374,0.442,0.579
121,CLN-EXP-WSI - SVM - rbf,0.54,0.487,0.041,0.429,0.075,-0.011,-0.005,0.039,0.05
122,CLN-EXP-WSI - SVM - Poly,0.54,0.495,0.055,0.444,0.098,-0.004,-0.002,0.051,0.066
123,CLN-EXP-WSI - SVM - Utility ,0.565,0.581,0.123,0.6,0.205,0.094,0.059,0.114,0.147
124,CLN-EXP-WSI - SVM - Linear ,0.484,0.488,0.521,0.442,0.478,-0.025,-0.025,0.314,0.503
125,CLN-EXP-WSI - SVM - Sigmoid,0.509,0.509,0.507,0.462,0.484,0.018,0.018,0.319,0.497
126,CLN-EXP-WSI - RF,0.652,0.685,0.356,0.743,0.481,0.306,0.266,0.317,0.398
